division_id,week_start,weekly_rain_mm,flood_presence,flood_frequency_4w
central,2017-02-06,0.0,1,4
central,2017-02-13,0.0,1,4
central,2017-02-20,0.0,1,4
central,2017-02-27,0.0,1,4
central,2017-03-06,0.0,1,4
central,2017-03-13,0.0,1,4
central,2017-03-20,0.0,1,4
central,2017-03-27,0.0,1,4
central,2017-04-03,0.0,1,4
central,2017-04-10,0.0,1,4
central,2017-04-17,0.0,1,4
central,2017-04-24,0.0,1,4
central,2017-05-01,0.0,1,4
central,2017-05-08,0.0,1,4
central,2017-05-15,0.0,1,4
central,2017-05-22,0.0,1,4
central,2017-05-29,0.0,1,4
central,2017-06-05,0.0,1,4
central,2017-06-12,0.0,1,4
central,2017-06-19,0.0,1,4
central,2017-06-26,0.0,1,4
central,2017-07-03,0.0,1,4
central,2017-07-10,0.0,1,4
central,2017-07-17,0.0,1,4
central,2017-07-24,0.0,1,4
central,2017-07-31,0.0,1,4
central,2017-08-07,0.0,1,4
central,2017-08-14,0.0,1,4
central,2017-08-21,0.0,1,4
central,2017-08-28,0.0,1,4
central,2017-09-04,0.0,1,4
central,2017-09-11,0.0,1,4
central,2017-09-18,0.0,1,4
central,2017-09-25,0.0,1,4
central,2017-10-02,0.0,1,4
central,2017-10-09,0.0,1,4
central,2017-10-16,0.0,1,4
central,2017-10-23,0.0,1,4
central,2017-10-30,0.0,1,4
central,2017-11-06,0.0,1,4
central,2017-11-13,0.0,1,4
central,2017-11-20,0.0,1,4
central,2017-11-27,0.0,1,4
central,2017-12-04,0.0,1,4
central,2017-12-11,0.0,1,4
central,2017-12-18,0.0,1,4
eastern,2013-12-30,5.329939365386963,0,0
eastern,2014-01-06,5.4714395403862,0,0
eastern,2014-01-13,0.0,0,0
eastern,2014-01-20,4.678821384906769,0,0
eastern,2014-01-27,165.69711244106293,0,0
eastern,2014-02-03,1.0101046562194824,0,0
eastern,2014-02-10,164.54213309288025,0,0
eastern,2014-02-17,119.84197568893433,0,0
eastern,2014-02-24,194.93995940685272,0,0
eastern,2014-03-03,52.559595048427575,0,0
eastern,2014-03-10,126.51418024301529,0,0
eastern,2014-03-17,3.957415878772736,0,0
eastern,2014-03-24,110.49789524078369,0,0
eastern,2014-03-31,36.21252191066742,0,0
eastern,2014-04-07,71.51519548892975,0,0
eastern,2014-04-14,0.0,0,0
eastern,2014-04-21,8.403137266635895,0,0
eastern,2014-04-28,10.291023969650269,0,0
eastern,2014-05-05,0.0,0,0
eastern,2014-05-12,138.8284224420786,0,0
eastern,2014-05-19,3.90136855840683,0,0
eastern,2014-05-26,60.28853917121887,0,0
eastern,2014-06-02,18.511417627334595,0,0
eastern,2014-06-09,30.771469295024872,0,0
eastern,2014-06-16,0.0,0,0
eastern,2014-06-23,1.320898711681366,0,0
eastern,2014-06-30,5.221855163574219,0,0
eastern,2014-07-07,19.95689821243286,0,0
eastern,2014-07-14,19.93403697013855,0,0
eastern,2014-07-21,15.43900352716446,0,0
eastern,2014-07-28,21.068641901016235,0,0
eastern,2014-08-04,28.492382884025574,0,0
eastern,2014-08-11,12.613615691661835,0,0
eastern,2014-08-18,12.869791090488434,0,0
eastern,2014-08-25,6.554311513900757,0,0
eastern,2014-09-01,11.261652469635008,0,0
eastern,2014-09-08,10.400880813598633,0,0
eastern,2014-09-15,7.554228186607361,0,0
eastern,2014-09-22,9.83917248249054,0,0
eastern,2014-09-29,6.139632076025009,0,0
eastern,2014-10-06,19.759106755256653,0,0
eastern,2014-10-13,35.64048671722412,0,0
eastern,2014-10-20,54.03729557991028,0,0
eastern,2014-10-27,11.26828420162201,0,0
eastern,2014-11-03,93.97339272499084,0,0
eastern,2014-11-10,0.0,0,0
eastern,2014-11-17,31.2865891456604,0,0
eastern,2014-11-24,5.044993996620178,0,0
eastern,2014-12-01,58.36532163619995,0,0
eastern,2014-12-08,31.639734745025635,0,0
eastern,2014-12-15,14.558526277542114,0,0
eastern,2014-12-22,11.858718633651732,0,0
eastern,2014-12-29,0.0,0,0
eastern,2015-01-05,79.50644743442535,0,0
eastern,2015-01-12,54.257224917411804,0,0
eastern,2015-01-19,1.270603060722351,0,0
eastern,2015-01-26,1.3148329257965088,0,0
eastern,2015-02-02,20.318585991859436,0,0
eastern,2015-02-09,133.32551443576813,1,1
eastern,2015-02-16,107.47622740268707,1,2
eastern,2015-02-23,67.74827587604523,0,2
eastern,2015-03-02,11.913905620574951,0,2
eastern,2015-03-09,199.7735152244568,1,2
eastern,2015-03-16,63.0539128780365,0,1
eastern,2015-03-23,0.0,0,1
eastern,2015-03-30,19.605193734169006,0,1
eastern,2015-04-06,2.0690309107303615,0,0
eastern,2015-04-13,50.315977334976196,0,0
eastern,2015-04-20,0.0,0,0
eastern,2015-04-27,11.965795814990997,0,0
eastern,2015-05-04,26.011106252670288,0,0
eastern,2015-05-11,0.0,0,0
eastern,2015-05-18,0.0,0,0
eastern,2015-05-25,12.343247830867767,0,0
eastern,2015-06-01,8.943779587745667,0,0
eastern,2015-06-08,19.243329346179962,0,0
eastern,2015-06-15,1.299732506275177,0,0
eastern,2015-06-22,7.706109166145325,0,0
eastern,2015-06-29,5.415572285652161,0,0
eastern,2015-07-06,26.240381181240082,0,0
eastern,2015-07-13,1.0513339042663574,0,0
eastern,2015-07-20,12.792954683303833,0,0
eastern,2015-07-27,22.68817299604416,0,0
eastern,2015-08-03,33.878830313682556,0,0
